Date,School,City,State,Killed (includes shooter),Wounded,Total Injured/Killed Victims,Category,School Type,Location,Firearm Type,Number of Shooters,Shooter Age,Shooter Gender,Race
1/5/70,Hine Junior High School,Washington,DC,1,0,1,Accidental,High,Inside School Building,Handgun,1,15,Male,
1/5/70,Sousa Junior High,Washington,DC,0,1,1,Accidental,Junior High,Inside School Building,Handgun,1,,Male,
1/5/70,Unnamed High School,Washington,DC,0,0,0,Robbery,High,Outside on School Property,Handgun,1,,Male,
2/6/70,John F. Kennedy High School,Cleveland,OH,0,1,1,Escalation of Dispute,High,Inside School Building,Handgun,1,18,Male,
3/23/70,David Starr Jordan High School,Long Beach,CA,0,2,2,,High,Outside on School Property,Handgun,2,,Male,
4/15/70,Pine Bluff Coleman High School,Pine Bluff,AR,1,5,6,Gang-related,High,Inside School Building,Multiple Handguns,8,,Male,
4/22/70,Pierre S. Dupont High School,Wilmington,DE,1,0,1,Escalation of Dispute,High,Inside School Building,Handgun,1,16,Male,
5/8/70,Carver High School,Delray Beach,FL,0,1,1,Escalation of Dispute,High,Inside School Building,Handgun,1,18,Male,
5/15/70,Ben Lomond High School,Ogden,UT,0,2,2,Suicide/Attempted,High,Inside School Building,Handgun,1,15,Male,White
8/28/70,Riverside High School,El Paso,TX,0,1,1,Escalation of Dispute,High,Outside on School Property,Handgun,2,,Male,
8/31/70,Allapatah Elementary School,Miami,FL,1,0,1,Racial,Elementary,Inside School Building,Rifle,1,27,Male,Black
9/14/70,Hamilton High School,Nashville,TN,1,2,3,Escalation of Dispute,High,Inside School Building,Rifle,1,18,Male,Black
9/24/70,Meridian High School,Meridian ,ID,1,0,1,Accidental,High,Outside on School Property,Handgun,1,,,
9/28/70,Central High School,Davenport,IA,0,1,1,Domestic w/ Targeted Victim,High,Inside School Building,,1,17,Male,
10/5/70,Pontiac Central High School,Detroit,MI,0,4,4,Racial,High,Outside on School Property,Handgun,,,Male,
10/19/70,Booker T. Washington High School,Nashville,TN,1,0,1,Escalation of Dispute,High,Inside School Building,Handgun,1,17,Male,
10/20/70,Washington Junior High School,Nashville,TN,0,1,1,,Junior High,Inside School Building,Handgun,1,13,Male,
10/27/70,Appleseed Junior High School,Mansfield,OH,0,1,1,Escalation of Dispute,Junior High,Inside School Building,Handgun,1,13,Male,
11/20/70,Harlan High School,Chicago,IL,0,2,2,Gang-related,High,Inside School Building,Handgun,1,15,Male,
12/12/70,Xavier High School,Appleton,WI,1,0,1,Officer Involved Shooting,High,Inside School Building,Handgun,,,,
2/2/71,Morris E. Leeds Middle School,Philadelphia,PA,1,0,1,Anger Over Grade/Suspension/Discipline,Middle,Outside on School Property,Handgun,1,14,Male,Black
2/5/71,John F. Kennedy High School,Willingboro,PA,0,1,1,,High,,Handgun,1,14,Male,
2/10/71,Oak Cliff High School,Dallas,TX,0,2,2,Escalation of Dispute,High,Outside on School Property,Shotgun,1,17,Male,
2/25/71,Franklin D. Roosevelt Junior High School,Cleveland,OH,1,0,1,,Junior High,Inside School Building,Rifle,1,,Male,
3/9/71,Roskruge Junior High School,Tucson,AZ,0,1,1,Accidental,Junior High,Outside on School Property,Handgun,1,13,Male,
4/5/71,William Penn High School,Harrisburg,PA,0,1,1,Domestic w/ Targeted Victim,High,Inside School Building,Handgun,1,17,Male,
5/27/71,Benton Harbor High School,Saint Joseph,MI,0,1,1,Bullying,High,Inside School Building,Handgun,1,17,Male,
6/2/71,East Aurora Middle School,East Aurora,NY,1,0,1,Accidental,Middle,Inside School Building,Handgun,1,13,Male,
8/20/71,Monessen High School,Monessen,PA,0,1,1,Racial,High,Outside on School Property,Handgun,1,72,Male,White
9/9/71,Dunbar High School,Lubbock,TX,1,0,1,Escalation of Dispute,High,Inside School Building,Handgun,1,15,Male,White
9/24/71,McKinley Vocational High School,Buffalo,NY,1,0,1,Escalation of Dispute,High,Inside School Building,Handgun,1,,,
9/28/71,Central High School,Minneapolis,MN,0,0,0,Escalation of Dispute,High,Inside School Building,,1,18,Male,
9/29/71,Peabody Junior High School,Petersburg,VA,1,2,3,Indiscriminate Shooting,Junior High,Inside School Building,Handgun,1,14,Male,Black
10/28/71,City College High School,Baltimore,MD,0,1,1,Escalation of Dispute,High,Inside School Building,Handgun,1,,Male,
10/29/71,Frederick Douglass High School,Baltimore,MD,0,2,2,Escalation of Dispute,High,Outside on School Property,Handgun,2,,Male,
10/29/71,Forest Park High School,Baltimore,MD,0,1,1,Escalation of Dispute,High,Outside on School Property,Rifle,1,17,Male,
11/3/71,Carlsbad Mid-High School,Carlsbad,NM,1,1,2,Mental Health,12-Jun,Inside School Building,Rifle,1,22,Male,
11/8/71,Grove Elementary School,Grove,OK,1,0,1,Escalation of Dispute,Elementary,Inside School Building,Handgun,1,63,Male,
11/24/71,Edmondson Senior High School,Baltimore,MD,1,0,1,Escalation of Dispute,High,Outside on School Property,Handgun,1,17,Male,
12/6/71,Louis Stevenson Junior High School,Los Angeles,CA,0,4,4,Gang-related,Junior High,Outside on School Property,Handgun,2,14,Male,Some Other
12/13/71,Carver Vocational High School,Baltimore,MD,0,1,1,Escalation of Dispute,High,Inside School Building,Handgun,1,17,Male,
1/5/72,Parkview Elementary School,Washington,DC,1,0,1,Domestic w/ Targeted Victim,Elementary,Inside School Building,Handgun,1,61,Male,
1/24/72,Stow High School,Stow,OH,0,1,1,Anger Over Grade/Suspension/Discipline,High,Inside School Building,Handgun,1,16,Male,White
1/26/72,Harlem Park Junior High School,Baltimore,MD,0,1,1,Escalation of Dispute,Junior High,Outside on School Property,Rifle,1,17,Male,
1/26/72,Gwynn Falls Junior High School,Baltimore,MD,0,1,1,Accidental,Junior High,Inside School Building,Handgun,1,,Male,
2/14/72,Camlumet High School,Chicago,IL,1,0,1,Gang-related,High,Outside on School Property,Handgun,,,,
2/15/72,Kenwood High School,Chicago,IL,1,0,1,Officer Involved Shooting,High,Inside School Building,Handgun,,,,
2/28/72,Markham Junior High School,Los Angeles,CA,0,1,1,Accidental,Junior High,Inside School Building,Handgun,1,14,Male,
3/13/72,Unnamed Junior High School,Houston,TX,0,1,1,Accidental,Junior High,Inside School Building,Handgun,1,15,Male,
4/12/72,East Ascension Junior High,Gonzales,LA,1,1,2,Domestic w/ Targeted Victim,Junior High,Inside School Building,,1,28,Male,
5/4/72,Libby Booth Elementary School,Reno,NV,1,0,1,Anger Over Grade/Suspension/Discipline,Elementary,Inside School Building,Handgun,1,53,Male,White
5/5/72,Decatur Central High School,Indianapolis,IN,1,0,1,Mental Health,High,Outside on School Property,Handgun,1,16,Female,White
9/14/72,Francis Scott Key Junior High,Houston,TX,0,1,1,Escalation of Dispute,Junior High,Inside School Building,Handgun,1,16,Male,
9/15/72,Saginaw High School,Saginaw,MI,0,2,2,,High,Inside School Building,,1,17,Male,
9/19/72,Cullen Junior High,Houston,TX,0,1,1,Domestic w/ Targeted Victim,Junior High,Inside School Building,Handgun,1,33,Male,
9/21/72,Thorton Junior High,Akron,OH,0,1,1,Robbery,Junior High,Inside School Building,Handgun,1,18,Male,
11/11/72,Jefferson High School,Los Angeles,CA,0,5,5,Gang-related,High,Outside on School Property,,2,,Male,
11/27/72,Pontiac Central High School,Pontiac,MI,0,5,5,Racial,High,Outside on School Property,,1,16,Male,Black
11/29/72,Miami Northwest High School,Miami,FL,0,1,1,Escalation of Dispute,High,Off School Property,,1,,Male,
1/5/73,South Iredell High School,Statesville,NC,0,4,4,Racial,High,Outside on School Property,Handgun,1,,Male,Black
