Year,Deaths,Population,Crude Rate,Age Adjusted Rate
1999,10828,279040168,3.9,3.8
2000,10801,281421906,3.8,3.8
2001,11348,284968955,4,3.9
2002,11829,287625193,4.1,4.1
2003,11920,290107933,4.1,4.1
2004,11624,292805298,4,4
2005,12352,295516599,4.2,4.2
2006,12791,298379912,4.3,4.3
2007,12632,301231207,4.2,4.2
2008,12179,304093966,4,4.1
2009,11493,306771529,3.7,3.8
2010,11078,308745538,3.6,3.6
2011,11068,311591917,3.6,3.6
2012,11622,313914040,3.7,3.8
2013,11208,316128839,3.5,3.6
2014,11008,318857056,3.5,3.5
2015,12979,321418820,4,4.2
2016,14415,323127513,4.5,4.6
2017,14542,325719178,4.5,4.6
2018,13958,327167434,4.3,4.4
