Year,Deaths,Population,Crude Rate,Age Adjusted Rate
1999,1447,279040168,0.5,0.5
2000,1276,281421906,0.5,0.5
2001,1356,284968955,0.5,0.5
2002,1305,287625193,0.5,0.5
2003,1309,290107933,0.5,0.5
2004,1195,292805298,0.4,0.4
2005,1340,295516599,0.5,0.4
2006,1222,298379912,0.4,0.4
2007,1240,301231207,0.4,0.4
2008,1191,304093966,0.4,0.4
2009,1119,306771529,0.4,0.4
2010,1202,308745538,0.4,0.4
2011,1293,311591917,0.4,0.4
2012,1275,313914040,0.4,0.4
2013,1253,316128839,0.4,0.4
2014,1200,318857056,0.4,0.4
2015,1255,321418820,0.4,0.4
2016,1305,323127513,0.4,0.4
2017,1377,325719178,0.4,0.4
2018,1350,327167434,0.4,0.4
