State,Code,gunOwnership
Alabama,AL,0.489
Alaska,AK,0.617
Arizona,AZ,0.323
Arkansas,AR,0.579
California,CA,0.201
Colorado,CO,0.343
Connecticut,CT,0.166
Delaware,DE,0.052
Florida,FL,0.325
Georgia,GA,0.316
Hawaii,HI,0.451
Idaho,ID,0.569
Illinois,IL,0.262
Indiana,IN,0.338
Iowa,IA,0.338
Kansas,KS,0.322
Kentucky,KY,0.424
Louisiana,LA,0.445
Maine,ME,0.226
Maryland,MD,0.207
Massachusetts,MA,0.226
Michigan,MI,0.288
Minnesota,MN,0.367
Mississippi,MS,0.428
Missouri,MO,0.271
Montana,MT,0.523
Nebraska,NE,0.198
Nevada,NV,0.375
New Hampshire,NH,0.144
New Jersey,NJ,0.113
New Mexico,NM,0.499
New York,NY,0.103
North Carolina,NC,0.287
North Dakota,ND,0.479
Ohio,OH,0.196
Oklahoma,OK,0.312
Oregon,OR,0.266
Pennsylvania,PA,0.271
Rhode Island,RI,0.058
South Carolina,SC,0.444
South Dakota,SD,0.35
Tennessee,TN,0.394
Texas,TX,0.357
Utah,UT,0.319
Vermont,VT,0.288
Virginia,VA,0.293
Washington,WA,0.277
West Virginia,WV,0.542
Wisconsin,WI,0.347
Wyoming,WY,0.538
