State,Code,Deaths,Population,Crude Rate
Alabama,AL,4592,43572495,10.5
Alaska,AK,1001,6593821,15.2
Arizona,AZ,6351,60732937,10.5
Arkansas,AR,2927,26713326,11
California,CA,14151,347610852,4.1
Colorado,CO,4837,48257644,10
Connecticut,CT,999,32266097,3.1
Delaware,DE,482,8410633,5.7
District of Columbia,DC,83,5907209,1.4
Florida,FL,14492,179790013,8.1
Georgia,GA,7387,90986403,8.1
Hawaii,HI,324,12659228,2.6
Idaho,ID,1831,14804116,12.4
Illinois,IL,4573,115542496,4
Indiana,IN,4730,59317244,8
Iowa,IA,1826,27940840,6.5
Kansas,KS,2308,26051797,8.9
Kentucky,KY,4222,39682547,10.6
Louisiana,LA,3808,41681948,9.1
Maine,ME,1111,11979250,9.3
Maryland,MD,2302,53509368,4.3
Massachusetts,MA,1205,60587710,2
Michigan,MI,6085,89257788,6.8
Minnesota,MN,2916,49102809,5.9
Mississippi,MS,2518,26867710,9.4
Missouri,MO,5374,54546019,9.9
Montana,MT,1451,9219766,15.7
Nebraska,NE,1077,16927176,6.4
Nevada,NV,2759,25675373,10.7
New Hampshire,NH,963,11970310,8
New Jersey,NJ,1678,80131799,2.1
New Mexico,NM,2181,18747422,11.6
New York,NY,4208,176743602,2.4
North Carolina,NC,6963,89582610,7.8
North Dakota,ND,650,6549375,9.9
Ohio,OH,7445,104366498,7.1
Oklahoma,OK,3984,34795140,11.4
Oregon,OR,3550,35958521,9.9
Pennsylvania,PA,8205,114969138,7.1
Rhode Island,RI,261,9490523,2.8
South Carolina,SC,4218,43601399,9.7
South Dakota,SD,679,7645492,8.9
Tennessee,TN,5836,58988518,9.9
Texas,TX,17130,242622747,7.1
Utah,UT,2704,26590242,10.2
Vermont,VT,564,5631967,10
Virginia,VA,5646,74652695,7.6
Washington,WA,4812,63884211,7.5
West Virginia,WV,2027,16565320,12.2
Wisconsin,WI,3600,51784524,7
Wyoming,WY,825,5203667,15.9
