State,Code,Deaths,Population,Crude Rate
Alabama,AL,3309,43572495,7.6
Alaska,AK,276,6593821,4.2
Arizona,AZ,2383,60732937,3.9
Arkansas,AR,1479,26713326,5.5
California,CA,12136,347610852,3.5
Colorado,CO,1167,48257644,2.4
Connecticut,CT,694,32266097,2.2
Delaware,DE,398,8410633,4.7
District of Columbia,DC,753,5907209,12.7
Florida,FL,7876,179790013,4.4
Georgia,GA,4888,90986403,5.4
Hawaii,HI,80,12659228,0.6
Idaho,ID,176,14804116,1.2
Illinois,IL,6376,115542496,5.5
Indiana,IN,2630,59317244,4.4
Iowa,IA,355,27940840,1.3
Kansas,KS,836,26051797,3.2
Kentucky,KY,1536,39682547,3.9
Louisiana,LA,4171,41681948,10
Maine,ME,107,11979250,0.9
Maryland,MD,3185,53509368,6
Massachusetts,MA,883,60587710,1.5
Michigan,MI,4269,89257788,4.8
Minnesota,MN,639,49102809,1.3
Mississippi,MS,2277,26867710,8.5
Missouri,MO,3612,54546019,6.6
Montana,MT,145,9219766,1.6
Nebraska,NE,367,16927176,2.2
Nevada,NV,1033,25675373,4
New Hampshire,NH,86,11970310,0.7
New Jersey,NJ,2436,80131799,3
New Mexico,NM,828,18747422,4.4
New York,NY,3647,176743602,2.1
North Carolina,NC,3988,89582610,4.5
North Dakota,ND,78,6549375,1.2
Ohio,OH,4365,104366498,4.2
Oklahoma,OK,1692,34795140,4.9
Oregon,OR,594,35958521,1.7
Pennsylvania,PA,4755,114969138,4.1
Rhode Island,RI,121,9490523,1.3
South Carolina,SC,2671,43601399,6.1
South Dakota,SD,83,7645492,1.1
Tennessee,TN,3321,58988518,5.6
Texas,TX,9227,242622747,3.8
Utah,UT,327,26590242,1.2
Vermont,VT,58,5631967,1
Virginia,VA,2502,74652695,3.4
Washington,WA,1211,63884211,1.9
West Virginia,WV,538,16565320,3.2
Wisconsin,WI,1229,51784524,2.4
Wyoming,WY,85,5203667,1.6
