case,location,date,total_victims,race,gender,latitude,longitude,type,year
Jersey City kosher market shooting,"Jersey City, New Jersey",12/10/19,7,Black,-,40.707363,-74.083609,Spree,2019
Pensacola Naval base shooting,"Pensacola, Florida",12/6/19,11,-,M,30.364707,-87.288567,Mass,2019
Odessa-Midland shooting spree,"Odessa, Texas",8/31/19,32,White,M,31.925974,-102.2796,Spree,2019
Dayton entertainment district shooting,"Dayton, Ohio",8/4/19,36,White,M,39.757312,-84.184947,Mass,2019
El Paso Walmart mass shooting,"El Paso, Texas",8/3/19,48,White,M,31.771068,-106.375655,Mass,2019
Gilroy garlic festival shooting,"Gilroy, California",7/28/19,15,-,M,36.997191,-121.584819,Mass,2019
Virginia Beach municipal building shooting,"Virginia Beach, Virginia",5/31/19,16,Black,M,36.75442,-76.060378,Mass,2019
Harry Pratt Co. warehouse shooting,"Aurora, Illinois",2/15/19,11,Black,M,41.753725,-88.331057,Mass,2019
Pennsylvania hotel bar shooting,"State College, Pennsylvania",1/24/19,4,White,M,40.785142,-77.839411,Spree,2019
SunTrust bank shooting,"Sebring, Florida",1/23/19,5,White,M,27.471043,-81.45847,Mass,2019
Mercy Hospital shooting,"Chicago, Illinois",11/19/18,3,Latino,M,41.847667,-87.622009,Mass,2018
Thousand Oaks nightclub shooting,"Thousand Oaks, California",11/7/18,34,-,M,34.176946,-118.874793,Mass,2018
Tree of Life synagogue shooting,"Pittsburgh, Pennsylvania",10/27/18,17,White,M,40.443898,-79.921398,Mass,2018
Rite Aid warehouse shooting,"Perryman, Maryland",9/20/18,6,Black,F,39.455658,-76.208485,Mass,2018
T&T Trucking shooting,"Bakersfield, California",9/12/18,5,Latino,M,35.349388,-118.916335,Spree,2018
Fifth Third Center shooting,"Cincinnati, Ohio",9/6/18,5,Latino,M,39.101981,-84.511782,Mass,2018
Capital Gazette shooting,"Annapolis, Maryland",6/28/18,7,White,M,38.994548,-76.543657,Mass,2018
Santa Fe High School shooting,"Santa Fe, Texas",5/18/18,23,White,M,29.392825,-95.141972,Mass,2018
Waffle House shooting,"Nashville, Tennessee",4/22/18,8,White,M,36.052521,-86.616944,Mass,2018
Yountville veterans home shooting,"Yountville, California",3/9/18,3,Asian,M,38.392496,-122.366528,Mass,2018
Marjory Stoneman Douglas High School shooting,"Parkland, Florida",2/14/18,34,White,M,26.30483,-80.269511,Mass,2018
Pennsylvania carwash shooting,"Melcroft, Pennsylvania",1/28/18,5,White,M,40.052151,-79.389166,Mass,2018
Rancho Tehama shooting spree,"Rancho Tehama, California",11/14/17,15,White,M,40.018759,-122.393089,Spree,2017
Texas First Baptist Church massacre,"Sutherland Springs, Texas",11/5/17,46,White,M,29.273282,-98.056488,Mass,2017
Walmart shooting in suburban Denver,"Thornton, Colorado",11/1/17,3,White,M,39.876374,-104.986132,Mass,2017
Edgewood businees park shooting,"Edgewood, Maryland",10/18/17,6,Black,M,39.452189,-76.309988,Mass,2017
Las Vegas Strip massacre,"Las Vegas, Nevada",10/1/17,604,White,M,36.095739,-115.171544,Mass,2017
San Francisco UPS shooting,"San Francisco, California",6/14/17,5,Asian,M,37.765947,-122.406087,Mass,2017
Pennsylvania supermarket shooting,"Tunkhannock, Pennsylvania",6/7/17,3,White,M,41.529546,-75.94722,Mass,2017
Florida awning manufacturer shooting,"Orlando, Florida",6/5/17,5,-,M,28.580295,-81.294086,Mass,2017
Rural Ohio nursing home shooting,"Kirkersville, Ohio",5/12/17,3,White,M,39.959034,-82.596508,Mass,2017
Fresno downtown shooting,"Fresno, California",4/18/17,3,Black,M,36.746378,-119.800319,Mass,2017
Fort Lauderdale airport shooting,"Fort Lauderdale, Florida",1/6/17,11,Latino,M,26.072751,-80.143382,Mass,2017
Cascade Mall shooting,"Burlington, Washington",9/23/16,5,-,M,48.461367,-122.337918,Mass,2016
Baton Rouge police shooting,"Baton Rouge, Lousiana",7/17/16,6,Black,M,30.433601,-91.081403,Spree,2016
Dallas police shooting,"Dallas, Texas",7/7/16,16,Black,M,32.7801052,-96.8000082,Mass,2016
Orlando nightclub massacre,"Orlando, Florida",6/12/16,102,Other,M,28.519718,-81.376777,Mass,2016
